Unnamed: 0,SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
0,1,Pathaan,10500000000,5240000000,6570000000,3920000000,2500000000,All Time Blockbuster
1,2,Baahubali 2 The Conclusion,17880000000,5100000000,14160000000,3710000000,2500000000,All Time Blockbuster
2,3,KGF Chapter 2,12080000000,4350000000,10000000000,2070000000,1000000000,All Time Blockbuster
3,4,Dangal,20700000000,3740000000,5350000000,15350000000,700000000,All Time Blockbuster
4,5,Sanju,5880000000,3420000000,4380000000,1500000000,1000000000,All Time Blockbuster
5,6,PK,7920000000,3400000000,4890000000,3030000000,850000000,All Time Blockbuster
6,7,Tiger Zinda Hai,5580000000,3390000000,4330000000,1240000000,2100000000,Blockbuster
7,8,Bajrangi Bhaijaan,9220000000,3200000000,4320000000,4890000000,900000000,All Time Blockbuster
8,9,War,4710000000,3030000000,3750000000,960000000,1500000000,Blockbuster
9,10,Padmaavat,5850000000,3020000000,4000000000,1850000000,2150000000,Blockbuster
10,11,Sultan,6270000000,3000000000,4210000000,2060000000,800000000,Blockbuster
11,12,Kabir Singh,3770000000,2780000000,3300000000,470000000,550000000,All Time Blockbuster
12,13,Tanhaji: The Unsung Warrior,3610000000,2770000000,3250000000,360000000,1500000000,Blockbuster
13,14,RRR,12300000000,2720000000,9150000000,3140000000,5500000000,Blockbuster
14,15,Dhoom 3,5580000000,2710000000,3720000000,1860000000,1750000000,All Time Blockbuster
15,16,The Kashmir Files,3410000000,2520000000,2950000000,460000000,200000000,All Time Blockbuster
16,17,Brahmastra Part One: Shiva,4310000000,2490000000,3180000000,1130000000,3500000000,Hit
17,18,URI The Surgical Strike,3410000000,2440000000,2930000000,480000000,700000000,All Time Blockbuster
18,19,Simmba,3900000000,2400000000,2950000000,950000000,900000000,Blockbuster
19,20,Drishyam 2,3420000000,2390000000,2820000000,590000000,500000000,All Time Blockbuster
20,21,Kick,3780000000,2310000000,3100000000,680000000,1000000000,SuperHit
21,22,Krrish 3,3740000000,2310000000,3130000000,610000000,940000000,Blockbuster
22,23,Chennai Express,4220000000,2270000000,3100000000,1120000000,1150000000,SuperHit
23,24,Bharat,3210000000,2120000000,2510000000,700000000,1650000000,Hit
24,25,Housefull 4,2960000000,2100000000,2470000000,490000000,1750000000,SuperHit
25,26,Prem Ratan Dhan Payo,4050000000,2100000000,3100000000,950000000,1800000000,SuperHit
26,27,Golmaal Again,3080000000,2050000000,2620000000,450000000,800000000,Blockbuster
27,28,Good Newwz,3160000000,2050000000,2420000000,740000000,600000000,Blockbuster
28,29,Mission Mangal,2900000000,2030000000,2360000000,540000000,400000000,Blockbuster
29,30,3 Idiots,4600000000,2020000000,2740000000,1860000000,550000000,All Time Blockbuster
30,31,Happy New Year,3970000000,1990000000,2950000000,1020000000,1500000000,Hit
31,32,Ek Tha Tiger,3200000000,1980000000,2630000000,570000000,750000000,Blockbuster
32,33,Sooryavanshi,2930000000,1950000000,2300000000,620000000,1800000000,SuperHit
34,35,Yeh Jawaani Hai Deewani,3180000000,1880000000,2420000000,760000000,750000000,Blockbuster
35,36,Bhool Bhulaiyaa 2,2650000000,1840000000,2160000000,490000000,800000000,Blockbuster
